oneid,choice,time
6397,17,2020-09-11 01:21:22
6884,23,2020-09-11 01:57:14
7434,66,2020-09-11 03:07:34
7776,67,2020-09-11 01:30:13
9657,42,2020-09-11 01:31:52
11332,18,2020-09-11 02:03:42
13048,40,2020-09-11 01:38:54
13869,35,2020-09-11 01:30:15
14273,6,2020-09-11 01:38:40
17260,3,2020-09-11 01:32:56
18779,22,2020-09-11 01:21:58
20030,9,2020-09-11 01:33:35
20222,2,2020-09-11 01:17:09
20425,43,2020-09-11 01:27:49
21338,20,2020-09-11 01:36:02
22378,40,2020-09-11 01:12:37
24736,34,2020-09-11 01:39:52
28771,10,2020-09-11 01:33:30
29127,24,2020-09-11 01:32:55
30074,77,2020-09-11 01:30:44
30329,28,2020-09-11 01:45:20
30917,88,2020-09-11 01:31:01
31479,24,2020-09-11 01:28:49
36447,66,2020-09-11 01:37:44
36709,19,2020-09-11 01:30:58
37433,99,2020-09-11 01:29:45
37449,33,2020-09-11 01:47:13
38091,66,2020-09-11 01:25:06
38381,68,2020-09-11 01:21:52
38692,1,2020-09-11 01:34:05
38961,19,2020-09-11 01:31:27
40501,66,2020-09-11 01:29:32
43777,33,2020-09-11 01:29:10
44172,7,2020-09-11 01:37:55
44823,68,2020-09-11 01:15:54
45360,80,2020-09-11 01:36:16
46309,23,2020-09-11 01:31:53
47460,36,2020-09-11 01:32:54
48236,22,2020-09-11 01:41:41
48856,39,2020-09-11 01:20:53
49067,18,2020-09-11 01:59:07
49228,32,2020-09-11 01:33:55
50284,53,2020-09-11 01:30:32
50522,9,2020-09-11 01:38:35
50525,24,2020-09-11 01:53:20
50659,66,2020-09-11 01:16:59
52121,55,2020-09-11 01:34:08
53400,18,2020-09-11 01:27:07
53861,33,2020-09-11 01:30:50
54277,22,2020-09-11 01:31:01
59635,66,2020-09-11 01:43:30
62613,29,2020-09-11 02:27:17
64545,1,2020-09-11 01:30:20
64650,13,2020-09-11 03:47:34
67665,27,2020-09-11 01:31:17
69867,24,2020-09-11 02:50:12
76916,24,2020-09-11 01:21:56
77670,3,2020-09-11 01:30:21
78539,34,2020-09-11 01:31:44
81246,33,2020-09-11 01:30:02
82346,21,2020-09-11 02:29:22
84973,2,2020-09-11 01:31:25
86723,71,2020-09-11 02:49:47
93367,33,2020-09-11 01:34:10
95375,20,2020-09-11 01:26:19
95462,69,2020-09-11 01:18:07
96187,15,2020-09-11 01:28:52
96471,47,2020-09-11 01:26:30
98039,77,2020-09-11 03:55:09
98696,43,2020-09-11 01:31:03
99423,34,2020-09-11 01:27:06
99548,86,2020-09-11 01:30:38
99907,24,2020-09-11 01:30:45
